,min,max;;;;;;;;;;;;;
0;100.0;100.0;;;;;;1;;Mój wynik min;Wynik min;Mój wynik max;Wynik max
1;110.03797253606906;365.81549627776286;;;;;;;;110,037972536069;110,037976594061;365,815496277762;365,815470578463
2;168.83700842275923;502.59174479057737;;;;;;;;168,837008422759;168,837017156556;502,591744790577;502,591712089643
3;242.80084346168675;587.3726985453446;;;;;;;;242,800843461686;242,800855243918;587,372698545344;587,372666691486
4;318.6145848650498;649.3875133867617;;;;;;;;318,614584865049;318,614593760040;649,387513386761;649,387483454260
5;391.25578734089385;700.0684481210075;;;;;;;;391,255787340893;391,255791673889;700,068448121007;700,068420421438
6;459.0369041791315;744.0633696143246;;;;;;;;459,036904179131;459,036903256354;744,063369614324;744,063344318704
7;521.586280584686;783.3828725069054;;;;;;;;521,586280584686;521,586274233776;783,382872506905;783,382849723737
8;579.0344566560206;818.9922079088233;;;;;;;;579,034456656020;579,034444968770;818,992207908823;818,992187683668
9;631.6892536635103;851.4310602730205;;;;;;;;631,689253663510;631,689236862145;851,431060273020;851,431042591634
10;679.9076147830419;881.0576501065591;;;;;;;;679,907614783041;679,907593151339;881,057650106559;881,057634906017
