,min,max;;;;;;;;;;;;
0;100.0;100.0;;;;;;;Mój wynik min;Wynik min;Mój wynik max;Wynik max
1;95.15184873637153;374.68635250436927;;;;;;;95,151848736372;95,151846734582;374,686352504369;374,686332538506
2;147.644418984786;505.96813226561756;;;;;;;147,644418984786;147,644416654543;505,968132265617;505,968110822453
3;220.16445582570594;586.9978689410655;;;;;;;220,164455825705;220,164454973031;586,997868941065;586,997850391630
4;296.7364385344663;647.2855998503939;;;;;;;296,736438534466;296,736439900636;647,285599850393;647,285583877320
5;370.9682726625687;697.3340002074866;;;;;;;370,968272662568;370,968275802604;697,334000207486;697,333986310378
6;440.56014387590443;741.2191243328168;;;;;;;440,560143875904;440,560144005856;741,219124332816;741,219112151437
7;504.89120239843766;781.2095686565858;;;;;;;504,891202398437;504,891199655128;781,209568656585;781,209569726045
8;564.0015166127631;817.3915045851659;;;;;;;564,001516612763;564,001511191501;817,391504585165;817,391506546977
9;618.1738635334423;850.2373166468053;;;;;;;618,173863533442;618,173855642799;850,237316646805;850,237319467041
10;667.7655571834692;880.1676017665917;;;;;;;667,765557183469;667,765547026874;880,167601766591;880,167605400043
